"Ranks:higher taxagenusspecieslower taxatotalArchaea001,0941,0941,094Bacteria0028,27329,27929,279Eukaryota00570,419610,649610,649Fungi0064,38666,04366,043Metazoa00298,458318,549318,549Viridiplantae00191,526209,620209,620Viruses1127513,99413,57314,187All taxa14277613,766654,581655,227",Ranks:,higher taxa,genus,species,lower taxa,total,Archaea,0,0,"1,094","1,094","1,094",Bacteria,0,0,"28,273","29,279","29,279",Eukaryota,0,0,"570,419","610,649","610,649",Fungi,0,0,"64,386","66,043","66,043",Metazoa,0,0,"298,458","318,549","318,549",Viridiplantae,0,0,"191,526","209,620","209,620",Viruses,112,75,"13,994","13,573","14,187",All taxa,142,77,"613,766","654,581","655,227"
Ranks:,higher taxa,genus,species,lower taxa,total
Archaea,0,0,"1,094","1,094","1,094"
Bacteria,0,0,"28,273","29,279","29,279"
Eukaryota,0,0,"570,419","610,649","610,649"
Fungi,0,0,"64,386","66,043","66,043"
Metazoa,0,0,"298,458","318,549","318,549"
Viridiplantae,0,0,"191,526","209,620","209,620"
Viruses,112,75,"13,994","13,573","14,187"
All taxa,142,77,"613,766","654,581","655,227"
Dates:2016201720182019202020212022202320242025all dates,Dates:,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,all dates
Dates:,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,all dates
Ranks:,higher taxa,genus,species,lower taxa,total
Archaea,0,0,"1,094","1,094","1,094"
Bacteria,0,0,"28,273","29,279","29,279"
Eukaryota,0,0,"570,419","610,649","610,649"
Fungi,0,0,"64,386","66,043","66,043"
Metazoa,0,0,"298,458","318,549","318,549"
Viridiplantae,0,0,"191,526","209,620","209,620"
Viruses,112,75,"13,994","13,573","14,187"
All taxa,142,77,"613,766","654,581","655,227"
Dates:,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,all dates
